evidence_id,timestamp,source_channel,source_url,raw_fact,confidence,emotional_valence,contradiction_with,verified_by,chokepoint_score,red_flags,valuation_type,valuation_tool,forward_revenue,capacity_vs_revenue,panic_signal,catalyst_level,catalyst_type,timing_direction,lead_indicator,cross_validation
E001,2026-06-24,T0-1_公司官网,www.wuyangkeji.com,五洋自控成立于2001年，主营智能装备，曾用名五洋停车，2024年4月更名,high,neutral,,,,,,,,,,,,,,
E002,2026-06-24,T0-2_巨潮资讯,新浪财经,2025年报营收8.49亿(-15.93%)，归母净利润4712.55万(扭亏，2024年亏损8722万),high,positive,,E003,年报,,,,,,,,,,,
E003,2026-06-24,T0-2_巨潮资讯,新浪财经,2026Q1营收1.67亿(-18.34%)，归母净利润405.85万(-44.17%)，扣非75.83万,high,negative,,E002,年报,,,,,,,,,,,
E004,2026-06-24,T0-2_巨潮资讯,新浪财经,新材料自动化装备与智能物流仓储系统收入同比+31.83%,high,positive,,E005,年报,,,,,,,,,,,
E005,2026-06-24,T0-2_巨潮资讯,新浪财经,智能停车设施销售量31,368个(-28.92%)，两站及机制砂设备销售2台套(-66.67%),high,negative,,E004,年报,,,,,,,,,,,
E006,2026-06-24,T0-3_e互动,新浪财经,收购柯斯宇51%股权，交易对价6.81亿，增值率1969.09%，商誉约6.47亿,high,positive,,E007,公司公告,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,传统业务下滑,none,L2_行业事件,液冷收购,upstream,行业事件+政策,交叉验证通过
E007,2026-06-24,T0-3_e互动,新浪财经,柯斯宇2025年营收1.05亿，净利润0.44亿；2026Q1营收0.47亿，净利润0.21亿,medium,positive,,E008,公司公告,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,传统业务下滑,none,L1_量产拐点,业绩承诺,upstream,行业事件+政策,交叉验证通过
E008,2026-06-24,T0-3_e互动,格隆汇,公司暂未开展人形机器人相关业务(2026-06-16),medium,negative,,E007,互动易,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,传统业务下滑,none,L4_噪音,机器人澄清,upstream,政策,交叉验证通过
E009,2026-06-24,T0-4_F10,东方财富,概念标签：液冷、机器人、智慧矿山、智慧城市、军民融合、区块链、充电桩、特斯拉,low,positive,,E008,多源对比,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,传统业务下滑,none,L2_行业事件,概念新增,upstream,政策+行业事件,交叉验证通过
E010,2026-06-24,T0-6_实时数据,Yahoo,股价7.80元，市值87.08亿，PE(TTM)195-210，52周区间3.27-8.89，年初至今+95.74%,high,negative,,,,6,R1_R3_R5,deep_value,深度价值(P/E EV/FCF),8.49亿,,none,,,,,
E011,2026-06-24,T1-10_原料现货,多源,不锈钢等原材料价格稳定，柯斯宇S316L不锈钢波纹管为食品级耐腐蚀材质,medium,neutral,,E012,行业报告,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,传统业务下滑,none,L2_行业事件,原材料,upstream,原料价格,交叉验证通过
E012,2026-06-24,T1-11_交叉验证,腾讯新闻,柯斯宇与英伟达系间接合作关系，去年8月投产，五大客户占营收超90%,medium,positive,,E013,公司公告,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,传统业务下滑,none,L2_行业事件,客户验证,upstream,交叉验证,交叉验证通过
E013,2026-06-24,T1-11_交叉验证,蓝夫财经,柯斯宇2025年经营性现金流1197.86万，2026Q1飙升至3260.85万，现金流超净利润,medium,positive,,E012,公司公告,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,传统业务下滑,none,L2_行业事件,现金流验证,upstream,交叉验证,交叉验证通过
E014,2026-06-24,T1-12_资本动作,公司公告,2025年9月实控人变更：侯友夫/蔡敏出让15%股权给中泰模具姚小春(6.75亿),high,neutral,,E015,公司公告,6,R1_R3_R5,chokepoint,紧缺卡点×供需缺口,8.49亿,实控人变更,none,L2_行业事件,实控人变更,upstream,行业事件,交叉验证通过
