Evidence_ID,时间戳,渠道,可信度,核心内容,来源URL,验证状态
T0-1-001,2026-04-30,2025年报,A,营收14.77亿(+6.68%)，净利润-3086.71万，毛利率3.5%,上交所,已验证
T0-1-002,2026-05-11,2026一季报,A,Q1营收3.56亿(-5.68%)，净利润-561.92万，经营现金流-1.26亿,上交所,已验证
T0-1-003,2026-05-18,互动平台,A,纳米硅中试阶段，能否成功仍具挑战，非CVD路线,e互动,已验证
T0-1-004,2026-06-03,机构调研纪要,A,四氯化硅/TEOS 2027年投产；纳米硅已出粉但中试阶段,公司公告,已验证
T0-2-001,2026-06-02,机构调研,A,27家机构调研，透露三大新业务进展,公司公告,已验证
T1-1-001,2026-06-23,方正证券研报,B,首次覆盖推荐，2026-2028年净利润0.24/3.84/8.92亿，PE 319/20/9,新浪财经,已验证
T1-2-001,2026-06-23,开源证券研报,B,三孚股份3万吨9N产能满负荷；四氯化硅供给受限，价格提升空间广阔,新浪财经,已验证
T1-2-002,2026-03-17,行业数据,C,功能性硅烷价格2026年3月以来回升20-40%；含硫硅烷均价2.1万元/吨,华经产业研究院,已验证
T1-2-003,2026-06-17,证券时报/周刊,B,今年以来三孚股份涨214%，宏柏新材涨72%；四氯化硅景气上行,证券时报,已验证
T1-2-004,2026-04-20,江瀚新材年报,B,全球最大功能性硅烷供应商，2025年毛利率27.39%，行业价格回升,上交所,已验证
T1-3-001,2024-04-25,QYResearch,C,全球TEOS前五大厂商占83.9%；金宏气体国内领先,雪球,已验证
T1-3-002,2025-07-17,CVD技术文章,C,CVD硅碳负极是主流技术路线，2025年量产元年,微信公众号,已验证
T2-1-001,2026-06-23,雪球,C,今年以来涨幅72%；6/23涨停；投资者双底预期与质疑托并存,雪球,已验证
T2-1-002,2026-06-24,东方财富,C,股东户数2.64万(-17.65%)，融资余额4.2亿，筹码集中,东方财富,已验证
T2-1-003,2026-06-23,淘股吧,C,短线资金关注，化工周期反转题材联动,淘股吧,已验证
T2-2-001,2026-03-31,股东数据,B,前十大股东新进多位个人股东（林依泓、李蓬勃等）,东方财富,已验证
